iter	RMSE
0	0.8788545122
1	0.7188719197
2	0.5800600337
3	0.4566010035
4	0.3556912839
5	0.2884839063
6	0.2355628361
7	0.2016695587
8	0.1826104484
9	0.1617233285
10	0.1486596987
11	0.1423924257
12	0.1363552757
13	0.1318982081
14	0.1263582788
15	0.1223900823
16	0.1198562432
17	0.1163628216
18	0.114367193
19	0.1074110244
20	0.1070862367
21	0.1046242571
22	0.1043402789
23	0.1010522118
24	0.09703150672
25	0.09610843949
26	0.09587259962
27	0.09515185815
28	0.09480768049
29	0.09417911675
30	0.09381955715
31	0.09283439963
32	0.0926776025
33	0.09232982545
34	0.09198158951
35	0.08998679555
36	0.08968957819
37	0.08724311652
38	0.08693255068
39	0.08636147359
40	0.08486385797
41	0.08466148754
42	0.08457738504
43	0.08441140982
44	0.08376258351
45	0.08221138822
46	0.0788662373
47	0.07812795041
48	0.07806193787
49	0.07698479982
50	0.07546038234
51	0.07324888557
52	0.07318850968
53	0.07313262904
54	0.07269790715
55	0.07172939245
56	0.06904939619
57	0.068397343
58	0.06789062657
59	0.06633451058
60	0.06584467717
61	0.06574618127
62	0.064859279
63	0.06324713395
64	0.06120431227
65	0.05959317672
66	0.05953080714
67	0.05947616276
68	0.05942825406
69	0.05938623367
70	0.05823890449
71	0.05751213323
72	0.0560570979
73	0.05496198799
74	0.05457232452
75	0.05348081186
76	0.05288531114
77	0.05280699887
78	0.0520780106
79	0.05203837541
80	0.05128032812
81	0.04999534905
82	0.04987331285
83	0.04983399763
84	0.04978782799
85	0.04975450916
86	0.04946305777
87	0.04894085989
88	0.04850583456
89	0.04814290294
90	0.04810291967
91	0.04782775536
92	0.04748535855
93	0.04694243252
94	0.04690679604
95	0.04687562243
96	0.04638337132
97	0.04559199412
98	0.04556341656
99	0.04528024577
